Name,Runtime,Genre,IMDB,Director,Stars
Ta fang jian li de yun,101,Drama,6.5,Xinyuan Zheng Lu,"Zhou Chen, Ye Hongming, Jin Jing, Dong Kangning"
Mayabazaar 2016,133,"Comedy, Crime, Drama",7.1,Radhakrishna Reddy,"Prakash Raj, Raj B. Shetty, Vasishta N. Simha, Achyuth Kumar"
Đấu Sĩ Tối Thượng,102,"Action, Sci-Fi, Thriller",2.9,Dimitri Logothetis,"Alain Moussi, Nicolas Cage, Raymond Pinharry, Mary Makariou"
Promising Young Woman,113,"Crime, Drama, Thriller",7.4,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown"
Yêu Nhầm Missy,90,"Comedy, Romance",5.7,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson"
Adú,119,Drama,6.5,Salvador Calvo,"Luis Tosar, Álvaro Cervantes, Anna Castillo, Moustapha Oumarou"
Nungambakkam,98,Crime,6.5,S.D. Ramesh Selvan,"Aayira, Ajmal Ameer, Mano, A. Venkatesh"
Bloodshot Heart,90,"Drama, Thriller",7.6,Parish Malfitano,"Richard James Allen, Emily David, Peter-William Jamieson, Monique Kalmar"
Chhapaak,120,"Biography, Drama",5.1,Meghna Gulzar,"Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi, Payal Nair"
Dust Nuggets,89,"Comedy, Drama",4.4,Andrew Pochan,"Linnea Sage, Robert Picardo, Eric Roberts, Sabina Houck"
The Black Emperor of Broadway,98,Drama,4.5,Arthur Egeli,"Shaun Parkes, John Hensley, Nick Moran, Liza Weil"
An English Haunting,89,Horror,4.2,Charlie Steeds,"David Lenik, Tessa Wood, Barrington De La Roche, Emma Spurgin Hussey"
Madha,113,"Mystery, Thriller",5.3,Srividya Basawa,"Trishna Mukherjee, Rahul Venkat, Anish Kuruvilla, Bikramjeet Kanwarpal"
On the Rocks,96,"Comedy, Drama, Romance",6.5,Sofia Coppola,"Bill Murray, Rashida Jones, Marlon Wayans, Jessica Henwick"
Nishabdham,120,"Horror, Mystery, Thriller",3.8,Hemant Madhukar,"Anushka Shetty, Madhavan, Anjali, Michael Madsen"
Black Bear,104,"Comedy, Drama",6.6,Lawrence Michael Levine,"Aubrey Plaza, Sarah Gadon, Christopher Abbott, Lindsay Burdge"
Shock Wave 2,120,"Action, Adventure",7.4,Herman Yau,"Andy Lau, Ching Wan Lau, Ni Ni, Kwan-Ho Tse"
Paatra,117,Biography,7.2,Bhavin Trivedi,"Prashant Barot, Kurush Deboo, Dinesh Lamba, Prinal Oberoi"
Mortal Kombat Legends: Scorpion's Revenge,80,"Animation, Action, Adventure",7.4,Ethan Spaulding,"Jennifer Carpenter, Joel McHale, Ike Amadi, Steve Blum"
